gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
YAL001C	TFC3	55.475127930717	69.9172497216971	113.18794092198	60.5079676385553	30.2676454861969
YAL002W	VPS8	36.344026236058	32.450124040096	80.5921245417088	63.5941760716881	24.236836179173
YAL003W	EFB1	598.195039817028	890.188776341506	1858.54801598377	1048.0997472682	664.968215287491
YAL004W	YAL004W	1.01961665998244	0	0	0	1.01787692788181
YAL005C	SSA1	6025.86776665536	6078.37985595332	12772.195683454	7962.90275196856	4143.95525294388
YAL007C	ERP2	43.7249503323294	61.0488638936667	143.826801323358	56.8552635408155	41.7525033572149
YAL008W	FUN14	13.1950040687126	18.8373622371468	26.5802303878803	9.39058032870205	2.82082545834915
YAL009W	SPO7	13.5138438141529	15.9016736820072	20.1317491545429	8.6664604036484	4.82067198117777
YAL010C	MDM10	10.9305982896586	12.1048591882249	36.2958798771111	29.7826462661152	9.9350768309183
YAL011W	SWC3	9.99426918903717	23.9834574709465	35.9566631574251	18.9768406732957	16.9901559168106
YAL012W	CYS3	242.667841754768	235.862440125653	545.980234733595	378.300651915743	226.791770777584
YAL013W	DEP1	7.89968776395367	18.3475536923448	35.6574299614693	20.7104964364202	9.87087953991813
YAL014C	SYN8	15.4273534092831	21.2439910825954	44.5894110966926	26.9310893021335	16.3716226845934
YAL015C	NTG1	11.8430405779514	12.2429180782953	28.5521002720385	7.88517112561276	5.91918395311648
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	147.963744633226	159.804804112693	324.436375549337	193.830425141477	103.974961431907
YAL017W	PSK1	101.011685028702	111.019922191832	205.232007167649	102.012129740107	60.6267915014939
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	101.845797926122	109.352585788875	234.346983159783	187.522960340744	83.7178417128543
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	11.7531275315875	8.26781760870254	18.5930114556938	11.733427427527	1.95762600042673
YAL021C	CCR4	105.481473153623	101.089277405227	201.083895405709	134.563271898368	78.3697619402646
YAL022C	FUN26	41.7890611778524	36.2375378380198	86.5228793944413	53.6817526052763	26.8605212979104
YAL023C	PMT2	302.920770450485	320.901306399593	655.374032828307	431.112868530967	244.770023796311
YAL024C	LTE1	49.5191005612499	51.0508620887288	97.1429442872733	68.7155612674349	46.5031807728328
YAL025C	MAK16	18.5293638549412	30.193266640764	58.2742191808408	47.6947874263275	20.4643072893462
YAL026C	DRS2	122.223363290306	163.092843029788	309.313474257778	180.192091453452	124.928793006737
YAL026C-A	YAL026C-A	10.7634100611621	13.5289830114267	23.369462044202	12.9973978358845	4.77946559988396
YAL027W	SAW1	9.65791513034012	10.5910265029183	21.1711467053622	4.81740767945997	1.92933460032839
YAL028W	FRT2	8.95971422742875	8.04555575606549	19.0983564909259	3.97872089920351	3.98158837331783
YAL029C	MYO4	177.899676295606	173.71528794796	352.156374583581	243.586675257155	140.549125323866
YAL030W	SNC1	11.7465775170986	18.9662962510315	58.3277871478509	12.4493753874888	6.63360205449265
YAL031C	GIP4	38.116688918947	39.738711454537	71.492851189535	35.0913863711391	15.0476755711849
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	13.7896102294935	14.3308432571535	37.8548705595654	17.7048403944364	12.7988114363972
YAL033W	POP5	12.041499333843	13.7645297809194	27.5148853139331	16.5975716725749	6.459338958285
YAL034C	FUN19	15.8104635361976	16.2898419207012	44.7740000800931	10.8563565412461	5.92681178306164
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	7.7766884415124	2.09400228192865	26.1615515146949	4.8503336936166	5.82752849382825
YAL035W	FUN12	410.856633254707	473.897950759254	859.48456105219	760.09187561631	390.806269244874
YAL036C	RBG1	48.2113487976271	59.4791861462316	150.671353644541	80.5635736600517	46.220963696553
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	0.96637340726296	0	3.06862431488293	0	0
YAL037W	YAL037W	3.86916867447901	5.28101392791149	10.5565896657944	3.86016380518562	0.966206642929712
YAL038W	CDC19	5660.29406076058	6419.50882427997	13553.8269243313	10196.8164183848	6282.50093032425
YAL039C	CYC3	8.70993808113839	17.939742608732	41.1346896622846	11.5865113748556	4.83350137117712
YAL040C	CLN3	33.9250517023343	44.0863638524245	92.1331167994641	49.8533481030816	35.9186069275178
YAL041W	CDC24	61.2977114327864	64.3894363516282	138.613533336319	89.4017246269268	50.2522428955099
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	139.353459195557	148.602557284022	296.034787015086	165.835874654179	100.773501778531
YAL043C	PTA1	63.2266482042907	66.5063535156135	133.936342041535	77.2436969233603	44.163754532852
YAL044C	GCV3	30.4875245404822	65.7367718650721	141.77999628849	43.2150151574773	23.0038267823794
YAL044W-A	YAL044W-A	4.07621916614028	4.77956994058938	22.2931754307408	5.63442102981024	2.41218262237627
YAL045C	YAL045C	0	0	0.96947334341677	0	0
YAL046C	AIM1	1.68349707160497	4.33278820108193	10.1046337503433	6.66579250539834	4.99471226962995
YAL047C	SPC72	19.9865245220345	23.9873705657362	39.9583664496031	18.9748302127371	13.9904396668941
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	18.0105644143264	20.946210436037	45.8585512462894	26.0000045072191	10.0061700004234
YAL049C	AIM2	25.0031888443679	39.4894674552351	69.3376696025152	31.6508161744292	11.5247508800064
YAL051W	OAF1	38.2857962660351	59.1888039915551	117.330685156162	81.590528471626	39.3029694163582
YAL053W	FLC2	116.412586019977	128.057887099526	259.952647131402	133.415224073701	65.2391741118843
YAL054C	ACS1	3.00591568486851	4.97609077891348	6.96294015052073	5.00727953338812	1.00204516084174
YAL055W	PEX22	5.58884776607279	1.13401128336455	5.66713698436574	0.927490380586109	1.85705713546056
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	61.3238032942259	48.5067857625785	131.593485558904	71.3524099077754	38.2084692357814
YAL058W	CNE1	22.8663595026624	27.2134913174213	49.3620184481211	38.737871040043	25.8445664609214
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	16.1373228068512	25.1380957950262	45.8807134883933	31.2262115042798	18.9504041591681
YAL060W	BDH1	48.2786977217558	54.2240113304778	116.572726840928	42.308766081347	27.5755370190407
YAL061W	BDH2	29.6546693039844	15.2630971094492	83.3953033118972	8.88563833242771	4.9407356695178
YAL062W	GDH3	4.9573605222333	16.1993970029355	33.3940534507491	12.8755248687821	3.96488440735346
YAL063C	FLO9	4.68817527927094	9.58250083513976	13.0085167196811	4.30655293675973	1.11999273254146
YAL063C-A	YAL063C-A	0	0.969979042564106	0.969479616375259	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	1.93897962066333	0	0
